time,Bx,By,Bz,F
18759.078472222223,21017.26,1705.19,43990.41,48783.08172729353
18759.079166666666,21017.08,1705.6,43990.31,48782.92833545871
18759.07986111111,21017.1,1705.71,43990.31,48782.94079809252
18759.080555555556,21016.99,1705.83,43990.33,48782.91563814016
18759.08125,21016.92,1705.93,43990.3,48782.861924463796
18759.081944444446,21016.7,1705.92,43990.31,48782.775811063686
18759.08263888889,21016.72,1706.1,43990.28,48782.76366962823
18759.083333333332,21016.76,1706.11,43990.33,48782.826340205014
18759.08402777778,21016.7,1706.08,43990.37,48782.83551202513
18759.084722222222,21016.74,1705.86,43990.43,48782.89915689821
18759.085416666665,21016.73,1705.75,43990.49,48782.94510784993
18759.08611111111,21016.84,1705.76,43990.47,48782.97481277767
18759.086805555555,21016.99,1705.72,43990.48,48783.04705539518
18759.0875,21016.9,1705.57,43990.51,48783.030089314874
18759.088194444445,21016.93,1705.61,43990.5,48783.03539497107
18759.088888888888,21017.3,1705.61,43990.5,48783.1948012028
18759.089583333334,21017.52,1705.48,43990.55,48783.3301270352
18759.090277777777,21017.73,1705.13,43990.66,48783.50756050041
18759.09097222222,21017.79,1704.85,43990.74,48783.59576491056
18759.091666666667,21017.88,1704.99,43990.69,48783.59434554408
18759.09236111111,21018.03,1705.08,43990.66,48783.635064669994
18759.093055555557,21018.18,1705.16,43990.63,48783.67543487165
18759.09375,21018.52,1705.18,43990.59,48783.786552202975
18759.094444444443,21018.54,1705.08,43990.6,48783.80069139755
18759.09513888889,21018.59,1705.04,43990.61,48783.82985336227
18759.095833333333,21018.72,1705.14,43990.57,48783.85328961725
18759.09652777778,21018.67,1705.38,43990.5,48783.77701411915
18759.097222222223,21018.54,1705.66,43990.4,48783.640617805475
18759.097916666666,21018.4,1705.83,43990.34,48783.53213805351
18759.098611111112,21018.46,1706.14,43990.27,48783.50570781173
18759.099305555555,21018.55,1706.46,43990.21,48783.501572541914
18759.1,21018.55,1706.8,43990.17,48783.47739728483
18759.100694444445,21018.57,1706.8,43990.19,48783.504049227544
18759.10138888889,21018.61,1706.72,43990.24,48783.56357163855
18759.102083333335,21018.72,1706.82,43990.25,48783.623481792536
18759.102777777778,21018.65,1706.96,43990.2,48783.55313324461
18759.10347222222,21018.75,1706.92,43990.19,48783.58580183503
18759.104166666668,21018.67,1707.26,43990.15,48783.52716131748
18759.10486111111,21018.8,1707.55,43990.09,48783.539218168655
18759.105555555554,21018.98,1707.69,43990.09,48783.62167351456
18759.10625,21018.86,1707.75,43990.1,48783.58108802694
18759.106944444444,21018.84,1707.74,43990.14,48783.60819038297
18759.10763888889,21018.71,1707.88,43990.15,48783.56609741645
18759.108333333334,21018.84,1707.92,43990.16,48783.63252667436
18759.109027777777,21018.71,1708.04,43990.19,48783.60776881718
18759.109722222223,21018.5,1708.15,43990.21,48783.539175797814
18759.110416666666,21018.47,1708.28,43990.19,48783.512767485285
18759.11111111111,21018.49,1708.41,43990.18,48783.51691955593
18759.111805555556,21018.5,1708.42,43990.19,48783.53059570925
18759.1125,21018.34,1708.62,43990.18,48783.45964660973
18759.113194444446,21018.23,1708.85,43990.18,48783.420309443245
18759.11388888889,21018.14,1708.87,43990.2,48783.40026870308
18759.114583333332,21018.2,1708.88,43990.23,48783.453522145195
18759.11527777778,21018.16,1709.06,43990.25,48783.4606289027
18759.115972222222,21018.11,1709.09,43990.25,48783.44013763995
18759.116666666665,21018.14,1708.96,43990.32,48783.51163091481
18759.11736111111,21018.2,1709.0,43990.38,48783.59298764698
18759.118055555555,21018.28,1709.12,43990.4,48783.64969426539
18759.11875,21018.12,1709.2,43990.44,48783.61963167555
18759.119444444445,21018.19,1709.18,43990.5,48783.703194801645
18759.120138888888,21018.4,1709.28,43990.53,48783.82422852169
18759.120833333334,21018.62,1709.33,43990.55,48783.93880218981
18759.121527777777,21018.6,1709.41,43990.55,48783.93298833747
18759.12222222222,21018.78,1709.43,43990.61,48784.06534705159
18759.122916666667,21018.86,1709.35,43990.67,48784.15111663828
18759.12361111111,21019.09,1709.22,43990.69,48784.2636934555
18759.124305555557,21019.14,1709.07,43990.77,48784.3521202998
18759.125,21019.19,1709.11,43990.86,48784.45622109362
18759.125694444443,21019.19,1709.08,43990.84,48784.437135300635
18759.12638888889,21019.22,1709.11,43990.82,48784.433077293215
18759.127083333333,21019.54,1709.1,43990.92,48784.660776395685
18759.12777777778,21019.63,1709.21,43990.95,48784.730460088635
18759.128472222223,21019.77,1709.38,43991.0,48784.84182445711
18759.129166666666,21019.95,1709.39,43991.09,48785.0008871856
18759.129861111112,21020.11,1709.28,43991.16,48785.12909356805
