datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 14:18:00+00:00,738567.595833,10.6,0.05,-2.82,-10.13,14.0,462.0,3.0,4.48
2023-02-16 14:19:00+00:00,738567.596528,11.61,-2.66,-1.26,-11.13,12.0,456.0,3.0,4.44
2023-02-16 14:20:00+00:00,738567.597222,12.48,-4.69,-2.93,-11.18,10.0,444.0,3.0,4.4
2023-02-16 14:21:00+00:00,738567.597917,12.5,-5.44,-3.58,-10.67,10.0,447.0,3.0,4.36
2023-02-16 14:22:00+00:00,738567.598611,12.74,-6.41,-4.1,-10.19,10.0,444.0,3.0,4.32
2023-02-16 14:23:00+00:00,738567.599306,12.58,-8.12,-2.92,-9.2,9.0,438.0,3.0,4.28
2023-02-16 14:24:00+00:00,738567.6,12.94,-8.22,-4.46,-8.92,10.0,437.0,3.0,4.24
2023-02-16 14:25:00+00:00,738567.600694,12.85,-8.63,-4.92,-8.14,9.0,436.0,3.0,4.2
2023-02-16 14:26:00+00:00,738567.601389,12.97,-8.18,-5.98,-8.05,9.0,439.0,3.0,4.16
2023-02-16 14:27:00+00:00,738567.602083,12.73,-8.28,-6.63,-6.84,9.0,439.0,3.0,4.12
2023-02-16 14:28:00+00:00,738567.602778,13.0,-9.1,-6.97,-6.12,9.0,438.0,3.0,4.08
2023-02-16 14:29:00+00:00,738567.603472,13.18,-9.36,-7.42,-5.49,9.0,437.0,3.0,4.04
2023-02-16 14:30:00+00:00,738567.604167,13.09,-9.38,-7.74,-4.8,9.0,439.0,3.0,4.0
2023-02-16 14:31:00+00:00,738567.604861,12.78,-8.11,-9.04,-3.75,9.0,439.0,2.0,3.96
2023-02-16 14:32:00+00:00,738567.605556,12.62,-7.17,-9.96,-2.97,10.0,440.0,2.0,3.92
2023-02-16 14:33:00+00:00,738567.60625,11.78,-6.52,-9.5,-2.47,9.0,440.0,2.0,3.88
2023-02-16 14:34:00+00:00,738567.606944,11.72,-5.05,-10.24,-2.38,9.0,445.0,2.0,3.84
2023-02-16 14:35:00+00:00,738567.607639,11.68,-1.81,-10.99,-3.17,9.0,445.0,2.0,3.8
2023-02-16 14:36:00+00:00,738567.608333,12.06,-1.42,-11.68,-2.45,11.0,447.0,2.0,3.76
2023-02-16 14:37:00+00:00,738567.609028,12.38,-1.61,-12.23,-0.95,10.0,443.0,2.0,3.72
2023-02-16 14:38:00+00:00,738567.609722,12.3,-1.29,-12.23,-0.45,10.0,440.0,2.0,3.68
2023-02-16 14:39:00+00:00,738567.610417,12.34,-1.73,-12.22,0.02,9.0,440.0,2.0,3.64
2023-02-16 14:40:00+00:00,738567.611111,11.4,-1.72,-11.18,0.98,9.0,442.0,2.0,3.6
2023-02-16 14:41:00+00:00,738567.611806,11.42,-2.74,-10.9,1.74,9.0,439.0,2.0,3.56
2023-02-16 14:42:00+00:00,738567.6125,11.24,-2.41,-10.77,1.84,10.0,446.0,2.0,3.52
2023-02-16 14:43:00+00:00,738567.613194,10.88,-2.67,-10.19,2.18,9.0,444.0,2.0,3.48
2023-02-16 14:44:00+00:00,738567.613889,9.73,-2.0,-9.42,1.36,9.0,446.0,2.0,3.44
2023-02-16 14:45:00+00:00,738567.614583,9.09,-1.81,-8.82,0.89,9.0,446.0,2.0,3.4
2023-02-16 14:46:00+00:00,738567.615278,9.57,-2.21,-9.24,0.85,9.0,451.0,2.0,3.36
2023-02-16 14:47:00+00:00,738567.615972,9.68,-1.86,-9.46,0.59,8.0,447.0,1.0,3.32
2023-02-16 14:48:00+00:00,738567.616667,9.31,-1.73,-9.15,0.17,8.0,443.0,1.0,3.28
2023-02-16 14:49:00+00:00,738567.617361,9.62,-1.16,-9.36,0.25,9.0,447.0,1.0,3.24
2023-02-16 14:50:00+00:00,738567.618056,9.62,-0.3,-9.53,0.9,11.0,450.0,1.0,3.2
2023-02-16 14:51:00+00:00,738567.61875,9.53,-1.35,-9.41,0.01,10.0,438.0,1.0,3.16
2023-02-16 14:52:00+00:00,738567.619444,9.76,-2.75,-9.29,-0.05,10.0,436.0,1.0,3.12
2023-02-16 14:53:00+00:00,738567.620139,10.12,-2.27,-9.76,1.12,9.0,438.0,1.0,3.08
2023-02-16 14:54:00+00:00,738567.620833,10.87,-3.92,-10.06,1.0,9.0,432.0,1.0,3.04
2023-02-16 14:55:00+00:00,738567.621528,10.61,-3.18,-10.05,1.21,9.0,437.0,1.0,3.0
2023-02-16 14:56:00+00:00,738567.622222,10.92,-2.98,-10.38,1.21,9.0,439.0,1.0,2.96
2023-02-16 14:57:00+00:00,738567.622917,10.62,-2.13,-10.13,2.38,9.0,445.0,1.0,2.92
2023-02-16 14:58:00+00:00,738567.623611,10.18,-1.15,-9.83,2.3,11.0,453.0,1.0,2.88
2023-02-16 14:59:00+00:00,738567.624306,10.03,-0.17,-9.48,3.19,12.0,458.0,1.0,2.84
2023-02-16 15:00:00+00:00,738567.625,9.62,-1.91,-9.15,2.15,10.0,445.0,1.0,2.8
2023-02-16 15:01:00+00:00,738567.625694,9.15,-0.47,-8.58,3.01,8.0,437.0,1.0,2.78
2023-02-16 15:02:00+00:00,738567.626389,9.53,-0.26,-8.79,3.5,9.0,441.0,1.0,2.77
2023-02-16 15:03:00+00:00,738567.627083,9.18,-1.64,-8.26,3.52,9.0,444.0,1.0,2.75
2023-02-16 15:04:00+00:00,738567.627778,8.72,-1.85,-7.35,4.23,8.0,439.0,1.0,2.73
2023-02-16 15:05:00+00:00,738567.628472,8.84,-1.32,-7.48,4.5,8.0,447.0,1.0,2.72
2023-02-16 15:06:00+00:00,738567.629167,8.92,-1.14,-7.52,4.68,10.0,450.0,1.0,2.7
2023-02-16 15:07:00+00:00,738567.629861,8.45,-2.31,-6.79,4.39,9.0,449.0,1.0,2.68
2023-02-16 15:08:00+00:00,738567.630556,8.88,-3.45,-7.09,3.83,8.0,442.0,1.0,2.67
2023-02-16 15:09:00+00:00,738567.63125,8.76,-2.38,-6.56,4.81,8.0,436.0,1.0,2.65
2023-02-16 15:10:00+00:00,738567.631944,8.46,-1.32,-7.49,3.63,10.0,446.0,1.0,2.63
2023-02-16 15:11:00+00:00,738567.632639,9.5,-1.16,-7.18,5.41,8.0,441.0,1.0,2.62
2023-02-16 15:12:00+00:00,738567.633333,9.93,-1.54,-6.9,6.96,7.0,447.0,1.0,2.6
2023-02-16 15:13:00+00:00,738567.634028,10.03,-2.23,-3.8,8.44,8.0,455.0,1.0,2.58
2023-02-16 15:14:00+00:00,738567.634722,9.73,-3.26,-5.07,7.0,7.0,445.0,1.0,2.57
2023-02-16 15:15:00+00:00,738567.635417,9.93,-3.61,-6.13,6.84,8.0,439.0,2.0,2.55
2023-02-16 15:16:00+00:00,738567.636111,9.86,-3.54,-7.25,5.61,8.0,443.0,2.0,2.53
2023-02-16 15:17:00+00:00,738567.636806,9.55,-3.71,-5.91,6.42,8.0,437.0,2.0,2.52
